# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    699     66     64    100     56      0      0      0      0   2619   1635    100      0  43113  43114      0      0      0      0   4449    300 
    0    688     66     65    100     54      0      0      0      0   2619   1770    100      0  43113  43114      0      0      0      0   4450    396 
    0    695     65     65    100     54      0      0      0      0   2619   1560    100      0  43113  43114      0      0      0      0     38   8974 
    0    700     65     64    100     54      0      0      0      0   2619   1710    100      0  43113  43114      0      0      0      0   4446    394 
    0    692     65     65    100     54      0      0      0      0   2619   1755    100      0  43113  43114      0      0      0      0   4449    395 
    0    701     66     64     94     53      0      0      0      0   2619   1635    100      0  43113  43114      0      0      0      0     30   8970 
    0    689     66     65    100     54      0      0      0      0   2619   1770    100      0  43113  43114      0      0      0      0   4449    395 
    0    694     66     64    100     55      0      0      0      0   2619   1725    100      0  43113  43114      0      0      0      0   4449    395 
    0    694     66     65    100     55      0      0      0      0   2619   1605    100      0  43113  43114      0      0      0      0     31  11718 
    0    693     63     66    100     54      0      0      0      0   2619   1590    100      0  43113  43114      0      0      0      0   4450    395 
    0    692     66     64    100     55      0      0      0      0   2619   1650    100      0  43113  43114      0      0      0      0   2166    172 
    0    698     65     66    100     55      0      0      0      0   2619   1725    100      0  43113  43114      0      0      0      0     32   8970 
    0    698     66     64    100     54      0      0      0      0   2619   1440    100      0  43113  43114      0      0      0      0   3222    395 
    0    693     66     66    100     55      0      0      0      0   2619   1710    100      0  43113  43114      0      0      0      0   4450    395 
    0    688     65     66    100     54      0      0      0      0   2619   1755    100      0  43113  43114      0      0      0      0     41  13452 
    0    698     66     67    100     54      0      0      0      0   2619   1590    100      0  43113  43114      0      0      0      0     23     11 
    0    697     66     67    100     54      0      0      0      0   2619   1590    100      0  43113  43114      0      0      0      0   4448    395 
    0    697     66     67    100     54      0      0      0      0   2619   1785    100      0  43113  43114      0      0      0      0   4452    396 
    0    699     66     67    100     53      0      0      0      0   2619   1560    100      0  43113  43114      0      0      0      0     39   8973 
    0    688     67     67    100     54      0      0      0      0   2619   1785    100      0  43113  43114      0      0      0      0   4448    160 
    0    692     67     66    100     55      0      0      0      0   2619   1680    100      0  43113  43114      0      0      0      0   2203    369 
    0    577     56     60     44     24      0      0      0      0   2619   1965    100      0  43113  43114      0      0      0      0      0      0 
    0    130     51     54      0      0      0      0      0      0   2619   1980      1      0  43113  43114      0      0      0      0      0      0 
    0    133     50     52      0      0      0      0      0      0   2619   1980      0      0      0      1      0      0      0      0      0      0 
    0     78     47     52      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     73     46     50      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      1 
    0     73     44     48      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     73     43     48      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      1 
    0     72     43     47      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     72     42     46      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      1 
    0     72     41     44      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     72     40     44      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      1 
    0     72     39     44      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     71     39     43      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      1 
    0     71     38     42      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     71     38     42      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      1 
    0     71     37     42      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     71     37     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     71     37     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     71     36     41      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     71     36     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     71     36     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     71     35     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     71     35     38      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     71     35     38      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0     71     34     38      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
